Table 1
Name,Description,Brand,Price,Sold At,Category,Image,Quantity
No Filter Natural Matte Foundation,"Our oil-free, buildable full coverage foundation was formulated with soft blurring pigments to give you a natural matte finish. No filter needed.",ColourPop,12,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/foundations-lineup_800x1200.jpg?v=1543082517,1
No Filter Concealer,"Our full coverage concealer was formulated with soft blurring pigments to give you a creaseproof, matte finish. No filter needed.",ColourPop,6.50,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/Concealer_Collection2_800x1200.jpg?v=1548968694,1
No Filter Foundation Stix,"Create a flawless face in seconds with this weightless, medium-buildable coverage stick foundation. Blends seamlessly for a natural skin-like finish.
",ColourPop,10,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/CP_No_Filter_Sticks_267_r_1_800x1200.jpg?v=1553025726,1
No Filter Sheer Matte Pressed Powder,"Get easy, on-the-go, fresh and flawless skin with this oil-absorbing, sheer buildable pressed powder compact.",ColourPop,9,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/CP_Press_Setting_Powders_102-2_800x1200.jpg?v=1553020019,1
No Filter Loose Setting Powder,"Smooth, weightless loose powder sets makeup for all day wear without creasing, caking, or flashback",ColourPop,9,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/CP_Press_Setting_Powders_106_800x1200.jpg?v=1553020587,1
All Star Setting Spray,"High performing setting spray that extends the wear of makeup by fighting oil and blurring pores with a weightless, micro-fine mist.",ColourPop,10,ColourPop,Face,https://cdn.shopify.com/s/files/1/1338/0845/products/FaceSettingSpray2_1_800x1200.jpg?v=1531353014,1
Give It To Me Straight," Full of warm coppers and rich, romantic mauves, it complements multiple skin tones and satisfies all your moods. Includes 7 buttery mattes and 5 intense metallics that can be used wet or dry.",ColourPop,16,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/give-it-to-me-straight-a_800x1200.jpg?v=1537206023,1
You Had Me At Hello,This palette is perfect. It’s great for an everyday look for if you want a more dramatic look. The shadows are pigmented.,ColourPop,18,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/you-had-me-at-hello_Palette_a_800x1200.jpg?v=1537207538,1
SHE,It’s coming up roses in soft mauve tones and buttery metallic finishes. Romantic shades make it easy to transition from sweet damsel to femme fatale.,ColourPop,16,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/2018_08_151512_800x1200.jpg?v=1536622735,1
Through My Eyes Palette,"You’re a sight to see, baby! Get endless looks with iluvsarahii’s first ever 16-pan shadow palette, includes 8 stunning metallics and 8 rich matte finishes. Get ahead of the curve with the trendiest shades, from rich emeralds to Pantone’s color of the year. Inspired by Karen’s unique perspective from her side of the beauty world, this palette was made for you to embrace and express your own individuality.",ColourPop,24,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/CP_Karen_535_HERO_UNCROPPED_800x1200.jpg?v=1552586362,1
Blue Moon,"When you’ve been asking for a palette after so long, we just had to deliver. Meet the latest palette to take the scene, Blue Moon. With 5 matte shadows and 4 metallics in every shade of blue under the sun! Make a splash this summer with an all-out blue look, or wear it as a pop of colour – she is versatile, baby!",ColourPop,12,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/2019_05_15_Arm_PDP48620_800x1200.jpg?v=1558548822,1
BFF Mascara,"Mascara that instantly volumizes, lifts, and lengthens lashes. What, like it’s hard?",ColourPop,8,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/CP_BFF_MASCARA_BLACK_800x1200.jpg?v=1548292453,1
Twinning Duo,"Whoever said black is boring was seriously disturbed. Get your essential mascara and liquid eyeliner duo with the Twinning Duo.
",ColourPop,15,ColourPop,Eye,https://cdn.shopify.com/s/files/1/1338/0845/products/bff_duo_black_800x1200.jpg?v=1550194011,1
The Money Maker Set,"This essential matte nude lip bundle will make you wanna shake, shake, shake it! Includes 3 of our newest Ultra Matte Lips in the updated non-drying, super comfy formula.",ColourPop,21,ColourPop,Lip,https://cdn.shopify.com/s/files/1/1338/0845/products/The_Money_Maker_800x1200.jpg?v=1557764617,1
Arriba!,"The boldest formula of our liquid lipsticks - in one smooth swipe, you’ll get intense color payoff that dries down to a super matte, transfer-proof finish. ¡Vamos! This warm true red is fiesta ready for @iluvsarahii's birthday!",ColourPop,7,ColourPop,Lip,https://cdn.shopify.com/s/files/1/1338/0845/products/Arriba_a_800x1200.jpg?v=1529968368,1
Rocket Man,"The boldest formula of our liquid lipsticks - in one smooth swipe, you’ll get intense color payoff that dries down to a super matte, transfer-proof finish. It’s gonna be a long, long time until you take off this warm red plum!",ColourPop,7,ColourPop,Lip,https://cdn.shopify.com/s/files/1/1338/0845/products/rocket_man_a_800x1200.jpg?v=1557357620,1
Alt Pencil,"Create clean lines and prevent feathering disasters with our long-wearing and super pigmented lip liner designed to be worn under your fave matching lip colour. Blackened Teal
",ColourPop,6,ColourPop,Lip,https://cdn.shopify.com/s/files/1/1338/0845/products/alt_800x1200.jpg?v=1550795505,1
Dream Sequence,"Dream a little dream of this iridescent Super Shock Highlighter Palette. Your favorite formula is in a compact, portable palette! Insane shades that suit every skin tone, you’ll want to add this baby on your wish list.",ColourPop,18,ColourPop,Cheek,https://cdn.shopify.com/s/files/1/1338/0845/products/this_is_not_a_dream_a1_800x1200.jpg?v=1543435775,1
Crush On You,"This is a big one…. Your favorite Super Shock Highlighter formula is now available in a palette! With 4 pigmented shades now available in one sleek palette, you can glow up whenever you want!",ColourPop,18,ColourPop,Cheek,https://cdn.shopify.com/s/files/1/1338/0845/products/Crush_On_You_a_800x1200.jpg?v=1537314839,1
Get Leid,"Our famous Super Shock formula has a bouncy texture that delivers a healthy flush of colour that’s weightless, buildable, and super blendable. Our famous Super Shock formula has a bouncy texture that delivers a healthy flush of colour that’s weightless, buildable, and super blendable.
No really you will. We hope you love flowers as much as you love this bright peach
",ColourPop,8,ColourPop,Cheek,https://cdn.shopify.com/s/files/1/1338/0845/products/get_leid_d_800x1200.jpg?v=1552544344,1
